City_ID,City,Country,Max Temp,Current Description,Lat,Lng,Hotel Name
4,Hope,US,84.25,clear sky,33.6671,-93.5916,Best Western Hope
8,Fort-Shevchenko,KZ,85.86,clear sky,44.5086,50.263000000000005,Oasis hotel Bautino
11,Lingao,CN,87.42,scattered clouds,19.9103,109.6859,Lingao Ditai Inn
12,Bengkulu,ID,83.3,scattered clouds,-3.8004,102.2655,Grage Hotel Bengkulu
17,Sabang,ID,82.54,light rain,5.8933,95.3214,Hotel Citra
24,Mecca,SA,83.17,broken clouds,21.4267,39.8261,"Makkah Clock Royal Tower, A Fairmont Hotel"
25,Marsh Harbour,BS,83.14,scattered clouds,26.5412,-77.0636,Abaco Beach Resort
27,Nhulunbuy,AU,77.61,scattered clouds,-12.2333,136.7667,East Arnhem Real Estate
30,Wewak,PG,84.54,overcast clouds,-3.5534,143.6268,In Wewak Boutique Hotel
32,The Valley,AI,82.26,overcast clouds,18.217,-63.0578,CeBlue Villas & Beach Resort
33,Carlyle,US,76.95,clear sky,38.6103,-89.3726,Mariner's Village at Carlyle Lake
35,Gimli,CA,75.22,clear sky,50.6336,-96.9907,Lakeview Gimli Resort
37,Meulaboh,ID,82.85,few clouds,4.1363,96.1285,Kost Pria
40,Hilo,US,81.28,heavy intensity rain,19.7297,-155.09,Hilo Hawaiian Hotel
46,Bogo,PH,87.1,few clouds,11.0517,124.0055,Acrige Apartelle
48,Atuona,PF,77.81,few clouds,-9.8,-139.0333,Villa Enata
50,Vaini,TO,76.69,clear sky,-21.2,-175.2,Keleti Beach Resort
56,Hasaki,JP,75.6,light rain,35.7333,140.8333,Inubosaki Kanko Hotel
58,Beyneu,KZ,87.28,clear sky,45.3167,55.2,NUR
59,Pyay,MM,83.12,overcast clouds,18.8167,95.2167,Shwe Pyi Thar
60,Butaritari,KI,82.06,light rain,3.0707,172.7902,Isles Sunset Lodge
61,Portland,US,78.84,few clouds,45.5234,-122.6762,Embassy Suites by Hilton Portland Downtown
65,Zhaotong,CN,76.19,clear sky,27.3167,103.7167,Jingguan Home
68,Pascagoula,US,82.45,clear sky,30.3658,-88.5561,Regency Inn
70,Paracuru,BR,80.11,clear sky,-3.41,-39.0306,Hotel Vento Brasil
77,Dingle,PH,86.41,broken clouds,10.9995,122.6711,SEGAYA PROPERTY
78,Bac Lieu,VN,79.39,overcast clouds,9.285,105.7244,Khách sạn Sài Gòn Bạc Liêu
84,Boa Vista,BR,80.58,clear sky,2.8197,-60.6733,Aipana Plaza Hotel
89,Thompson,CA,77.16,scattered clouds,55.7435,-97.8558,Burntwood Hotel
90,Pedernales,DO,79.61,clear sky,18.0384,-71.744,Hotel Costa Marina
91,Kupang,ID,81.54,clear sky,-10.1667,123.5833,Hotel On The Rock by Prasanthi
104,Cayenne,GF,79.09,light rain,4.9333,-52.3333,Hôtel Le Dronmi
105,Avarua,CK,75.25,broken clouds,-21.2078,-159.775,Paradise Inn
106,Silver City,US,75.16,scattered clouds,32.7701,-108.2803,Copper Manor Motel
109,Progreso,MX,84.11,overcast clouds,21.2833,-89.6667,Playa Linda Hotel
114,Palmer,US,76.55,broken clouds,42.1584,-72.3287,Wedgewood Motel
116,Hobyo,SO,77.74,overcast clouds,5.3505,48.5268,Iftin hotel hobyo
119,Taksimo,RU,75.0,scattered clouds,56.3444,114.8794,"Gostinitsa ""Domashniy Ochag"""
126,Nouakchott,MR,75.13,few clouds,18.0858,-15.9785,HOTEL IMAN
129,Mana,GF,75.92,overcast clouds,5.6592,-53.7767,LE SAMANA
133,Kloulklubed,PW,84.7,broken clouds,7.0419,134.2556,Storyboard Beach Resort
135,Faanui,PF,78.67,overcast clouds,-16.4833,-151.75,Bora-Bora Pearl Beach Resort & Spa
136,Srandakan,ID,83.12,overcast clouds,-7.9386,110.2506,Puri Brata
142,Cabo San Lucas,MX,86.61,clear sky,22.8909,-109.9124,Hotel Tesoro Los Cabos
147,Bethel,US,75.56,overcast clouds,41.3712,-73.414,Courtyard by Marriott Danbury
153,Kapaa,US,87.78,scattered clouds,22.0752,-159.319,Sheraton Kauai Coconut Beach Resort
154,Winnipeg,CA,76.98,few clouds,49.8844,-97.147,"Humphry Inn & Suites, Downtown Winnipeg"
155,Boysun,UZ,79.54,clear sky,38.2061,67.1986,Gaza Hotel
159,Yarada,IN,79.12,drizzle,17.65,83.2667,Yarada Jungle Beach Resorts
160,Laguna,US,89.58,clear sky,38.421,-121.4238,"Holiday Inn Express & Suites Elk Grove Central - Hwy 99, an IHG Hotel"
161,Banamba,ML,83.32,light rain,13.55,-7.45,Kassela de Banamba
162,Churapcha,RU,77.31,overcast clouds,62.0025,132.4325,"""Tusku"""
164,Kahului,US,86.02,few clouds,20.8947,-156.47,Maui Seaside Hotel
165,Denpasar,ID,82.06,few clouds,-8.65,115.2167,OYO 3156 Hotel Warta 2
166,Nago,JP,82.45,overcast clouds,26.5881,127.9761,Hotel Yugaf Inn Okinawa
183,Naze,JP,86.92,overcast clouds,28.3667,129.4833,Shishime Hotel
184,Carupano,VE,76.15,few clouds,10.6678,-63.2585,Hotel La dorada
185,Nishihara,JP,87.08,broken clouds,26.1842,127.7558,Minshuku Agaihama
188,Dalianwan,CN,84.24,clear sky,39.0286,121.695,Huanghai Hotel
191,Alofi,NU,80.49,broken clouds,-19.0595,-169.9187,Taloa Heights
192,Dengzhou,CN,78.91,few clouds,37.8086,120.7508,Greentree Inn Penglai Free Harbor Business Hotel
196,Springfield,US,77.92,clear sky,37.2153,-93.2982,Best Western Route 66 Rail Haven
197,Aden,YE,85.62,overcast clouds,12.7794,45.0367,Sama Emirate Hotel
198,Pattani,TH,86.5,broken clouds,6.75,100.4167,ผักปลอดสารพิษ
203,Pochutla,MX,80.82,overcast clouds,15.7432,-96.4661,Hotel Posada San Jose
205,Tansen,NP,78.26,broken clouds,27.8673,83.5467,Taksar Stay
206,Namatanai,PG,83.17,light rain,-3.6667,152.4333,Seagulls Inn Namatani
208,Shimoda,JP,80.96,overcast clouds,34.6667,138.95,Shimoda Tokyu Hotel
211,Alugan,PH,83.68,scattered clouds,12.2188,125.4808,JM Lodge
213,Altamont,US,84.04,clear sky,42.2068,-121.7372,Microtel Inn & Suites by Wyndham Klamath Falls
219,Georgetown,MY,85.89,few clouds,5.4112,100.3354,Cititel Penang
224,Hithadhoo,MV,83.25,few clouds,-0.6,73.0833,Scoop Guest House
226,Lata,PT,76.08,scattered clouds,40.1629,-8.3327,Casa Maquia
234,Puerto Escondido,MX,79.84,overcast clouds,15.85,-97.0667,Aldea del Bazar Hotel and Spa
238,Isangel,VU,84.31,scattered clouds,-19.55,169.2667,Tanna Lodge
239,Baiyin,CN,77.63,broken clouds,36.5583,104.2081,GreenTree Alliance Gansu Baiyin Renmin Road Hotel
241,Lorengau,PG,85.53,broken clouds,-2.0226,147.2712,Lorengau Harbourside Hotel
245,Leninskoye,KZ,86.97,clear sky,41.7589,69.3864,Қалдыбайдың үйі 🏘️
247,Katsuura,JP,77.2,overcast clouds,35.1333,140.3,Katsuura Hotel Mikazuki
248,Guayaramerin,BO,77.59,overcast clouds,-10.8368,-65.3614,Hostal Funf
250,Juigalpa,NI,75.34,overcast clouds,12.1063,-85.3645,Ethos Inn
251,Yuncheng,CN,87.22,broken clouds,35.0231,110.9928,晋州快捷酒店
257,Kirakira,SB,84.49,clear sky,-10.4544,161.9205,SanBiz Lodge
260,Khowai,IN,89.38,few clouds,24.1,91.6333,RD GAMING
264,Tarut,SA,86.2,scattered clouds,26.5733,50.0369,سطحة لسحب ونقل السيارات
265,Port Moresby,PG,80.02,haze,-9.4431,147.1797,Lamana Hotel (Port Moresby)
268,Peto,MX,79.59,overcast clouds,20.1333,-88.9167,Hotel D'Rodi&Eve
277,Port Blair,IN,82.44,mist,11.6667,92.75,"Welcomhotel By ITC Hotels, Bay Island, Port Blair"
284,Sola,VU,80.96,broken clouds,-13.8833,167.55,Leumerus Bungalows
286,Gizo,SB,84.18,few clouds,-8.103,156.8419,Imagination Island
290,Radhanpur,IN,83.62,overcast clouds,23.8333,71.6,"HONEST - HOTEL (VIRAT HOTEL AND GUEST HOUSE, RADHANPUR))"
291,Sampit,ID,81.23,overcast clouds,-2.5333,112.95,Aquarius Boutique Hotel Sampit
292,Zhob,PK,81.16,clear sky,31.3411,69.4481,ROOM # 105 DUBAI HOTEL ZHOB
297,Bathsheba,BB,81.21,scattered clouds,13.2167,-59.5167,Atlantis Hotel
303,Jalu,LY,76.03,clear sky,29.0331,21.5482,صاحبة الفخامة
306,Starkville,US,78.46,clear sky,33.4504,-88.8184,Hilton Garden Inn Starkville
307,Nabire,ID,85.06,overcast clouds,-3.3667,135.4833,Hotel Nusantara I
308,Nagato,JP,85.98,broken clouds,34.3833,131.2,いそう庵
309,Andujar,ES,87.82,clear sky,38.0392,-4.0508,Hotel del Val
315,Bilma,NE,87.17,clear sky,18.6853,12.9164,Expeditions Ténére voyages
319,Kalmunai,LK,84.06,broken clouds,7.4167,81.8167,VS Villa
327,San Patricio,US,85.17,scattered clouds,28.017,-97.5169,"Motel 6 Sinton, TX"
328,San Pablo,PH,85.91,overcast clouds,14.0669,121.3258,Ang Tahanan ni Aling Meding Hotel and Restaurant
330,Galle,LK,80.13,few clouds,6.0367,80.217,Amangalla
331,Yatou,CN,83.77,few clouds,37.15,122.3833,GreenTree Hotel Rongcheng Bus Station
334,Atar,MR,87.89,clear sky,20.5169,-13.0499,Oumou Elghoura
336,Cockburn Town,TC,81.16,clear sky,21.4612,-71.1419,Osprey Beach Hotel
338,Haimen,CN,89.49,broken clouds,23.1935,116.6142,Shantou Chaoyang Donghui Hotel
342,Vaitape,PF,78.64,overcast clouds,-16.5167,-151.75,Conrad Bora Bora Nui
344,Hambantota,LK,84.54,few clouds,6.1241,81.1185,Bungalow 63
347,Sahuaripa,MX,77.29,overcast clouds,29.05,-109.2333,Estatua de Sahuaripa
348,Bonthe,SL,75.45,light rain,7.5264,-12.505,Bonthe Holiday Village
350,West Bay,KY,84.27,few clouds,19.3667,-81.4167,Calypso Cove
351,Ambulu,ID,82.85,scattered clouds,-8.345,113.6058,Hotel Ambulu Jember
352,Pecos,US,77.09,broken clouds,31.4229,-103.4932,Knights Inn & Suites Pecos Northeast
359,Manoel Urbano,BR,77.79,overcast clouds,-8.8389,-69.2597,Baixada Beira Rio
360,Solano,US,82.58,clear sky,38.2333,-121.9511,Westwind Inn
361,Santa Ana,US,82.08,few clouds,33.7456,-117.8678,"Motel 6 Santa Ana, CA"
362,Ca Mau,VN,79.56,overcast clouds,9.1769,105.15,Mường Thanh Luxury Cà Mau Hotel
364,Teknaf,BD,85.3,broken clouds,20.8624,92.3058,Forestry Guesthouse
365,Tura,IN,86.07,scattered clouds,25.5198,90.2201,Hotel RIKMAN Continental
366,Tam Ky,VN,87.3,overcast clouds,15.5667,108.4833,Nhà Nghỉ Phương Hòa
368,Prince Albert,CA,78.75,broken clouds,53.2001,-105.7677,"Holiday Inn Express & Suites Prince Albert, an IHG Hotel"
369,Riyadh,SA,87.94,scattered clouds,24.6877,46.7219,"InterContinental Riyadh, an IHG Hotel"
380,Labuan,MY,79.16,few clouds,5.2767,115.2417,Tiara Labuan Hotel
386,Acapulco,MX,79.75,overcast clouds,16.8634,-99.8901,HS Hotsson Smart Acapulco
392,Alice,US,84.36,clear sky,27.7523,-98.0697,"Holiday Inn Express & Suites Alice, an IHG Hotel"
401,Neepawa,CA,75.6,clear sky,50.2289,-99.4664,"Westway Inn Motel, Neepawa"
404,Baghdad,IQ,85.91,clear sky,33.3406,44.4009,Baghdad Hotel
407,San Ignacio,BZ,78.94,clear sky,17.1561,-89.0714,Rainforest Haven Inn
408,Agucadoura,PT,85.08,scattered clouds,41.4318,-8.7804,Varzinn Hotel
411,Iwanai,JP,80.65,overcast clouds,42.9744,140.5089,いわない高原ホテル
412,Bowling Green,US,75.78,few clouds,36.9903,-86.4436,Hilton Garden Inn Bowling Green
413,Gewane,ET,80.4,overcast clouds,10.1664,40.6453,እንደገና ገዋኔ ሞቴል
419,Kapit,MY,83.55,overcast clouds,2.0167,112.9333,Hotel Meligai Kapit
422,Cotonou,BJ,76.98,scattered clouds,6.3654,2.4183,Novotel Cotonou Orisha
423,Mandera,KE,75.72,overcast clouds,3.9366,41.867,Red Sea Resort & Suites Mandera County
424,Biltine,TD,76.68,overcast clouds,14.5333,20.9167,Hôtel Trois Étoiles de Biltine
425,Kribi,CM,75.15,overcast clouds,2.95,9.9167,Hotel Tara Plage
428,Banepa,NP,77.32,scattered clouds,27.6298,85.5214,Dhulikhel Lodge Resort
432,Keti Bandar,PK,85.44,few clouds,24.1447,67.4497,Haji laloo memon house
434,Shingu,JP,82.45,light rain,33.7333,135.9833,Shingu UI Hotel
439,Shenjiamen,CN,82.18,overcast clouds,29.9576,122.29799999999999,Jinjiang Inn Zhoushan Putuo Shenjiamen
440,Kavaratti,IN,81.19,overcast clouds,10.5669,72.642,Green leaf
441,Bambanglipuro,ID,83.05,overcast clouds,-7.95,110.2833,Puri Brata
444,Oussouye,SN,78.33,overcast clouds,12.485,-16.5469,Auberge du Routard
452,Tagusao,PH,82.65,broken clouds,9.1924,117.8141,Caycay future beach resort
456,Khandwa,IN,77.05,overcast clouds,21.8333,76.3333,Hotel Grand Barrack
457,Pointe Michel,DM,79.97,scattered clouds,15.25,-61.3833,Castle Comfort Lodge Dive Dominica
459,Itarema,BR,78.76,clear sky,-2.9248,-39.9167,"Sea Lounge! Bar, Club & Restaurant"
460,Boyolangu,ID,80.83,light rain,-8.1181,111.8935,Yos ega cv
465,Kismayo,SO,75.63,light rain,-0.3582,42.5454,Agan-Hotel
467,Hamilton,US,76.5,broken clouds,39.1834,-84.5333,Six Acres Bed & Breakfast
469,Manggar,ID,85.01,overcast clouds,-2.8833,108.2667,Guest Hotel
470,Khandbari,NP,81.03,overcast clouds,27.3747,87.2039,Sainik Hotel And Lodge
473,Mogadishu,SO,75.87,light rain,2.0371,45.3438,Hotel Juba
475,Buloh Kasap,MY,86.67,overcast clouds,2.5536,102.764,Teratak Ixora Segamat
483,Mayo,US,81.5,overcast clouds,38.8876,-76.5119,Resorts Resource Group International
484,Mitsamiouli,KM,77.41,clear sky,-11.3847,43.2844,Foyer ADM
486,Banda Aceh,ID,84.11,overcast clouds,5.5577,95.3222,OYO 884 Rumoh PMI Hotel
487,Ravar,IR,77.22,clear sky,31.2656,56.8055,computertik
492,Tulum,MX,79.11,overcast clouds,20.2167,-87.4667,Kin Ha Tulum
493,Samarai,PG,77.7,overcast clouds,-10.6167,150.6667,Nuli Sapi
494,La Ronge,CA,82.65,broken clouds,55.1001,-105.2842,Northland Motor Hotel
497,Qostanay,KZ,75.49,clear sky,53.1667,63.5833,Hotel Fessla
