City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
0,Saint-Philippe,RE,-21.3585,55.7679,63.99,80,49,12.21,scattered clouds
1,Chuy,UY,-33.6971,-53.4616,45.63,91,1,7.23,clear sky
2,Angoche,MZ,-16.2325,39.9086,70.05,74,0,7.83,clear sky
3,Punta Arenas,CL,-53.15,-70.9167,37.51,75,100,17.27,overcast clouds
4,Hope,US,33.6671,-93.5916,84.25,65,7,8.84,clear sky
5,Plouzane,FR,48.3833,-4.6167,59.18,97,0,8.05,clear sky
6,Port Alfred,ZA,-33.5906,26.891,54.18,73,0,4.0,clear sky
7,Vila Velha,BR,-20.3297,-40.2925,70.95,88,75,1.14,broken clouds
8,Fort-Shevchenko,KZ,44.5086,50.263,85.86,36,5,11.7,clear sky
9,Lasa,IT,46.6166,10.7002,68.88,66,98,2.37,overcast clouds
10,Victoria,HK,22.2855,114.1577,91.33,75,94,5.99,overcast clouds
11,Lingao,CN,19.9103,109.6859,87.42,71,25,9.51,scattered clouds
12,Bengkulu,ID,-3.8004,102.2655,83.3,70,32,2.39,scattered clouds
13,Cidreira,BR,-30.1811,-50.2056,57.99,82,12,20.69,few clouds
14,Sisimiut,GL,66.9395,-53.6735,45.63,82,67,7.23,broken clouds
15,Kenai,US,60.5544,-151.2583,63.03,79,100,14.97,overcast clouds
16,Castro,BR,-24.7911,-50.0119,52.45,96,100,7.85,overcast clouds
17,Sabang,ID,5.8933,95.3214,82.54,78,99,14.65,light rain
18,Dudinka,RU,69.4058,86.1778,58.62,49,31,6.49,scattered clouds
19,Pevek,RU,69.7008,170.3133,39.13,77,92,13.87,overcast clouds
20,Hay River,CA,60.8156,-115.7999,66.18,45,74,4.61,broken clouds
21,New Norfolk,AU,-42.7826,147.0587,54.91,80,100,1.01,light rain
22,Deputatskiy,RU,69.3,139.9,52.93,63,100,8.97,overcast clouds
23,Ushuaia,AR,-54.8,-68.3,33.46,80,40,9.22,scattered clouds
24,Mecca,SA,21.4267,39.8261,83.17,52,73,2.57,broken clouds
25,Marsh Harbour,BS,26.5412,-77.0636,83.14,76,43,11.92,scattered clouds
26,Bourail,NC,-21.5667,165.4833,69.44,76,100,11.21,overcast clouds
27,Nhulunbuy,AU,-12.2333,136.7667,77.61,61,40,21.85,scattered clouds
28,Mataura,NZ,-46.1927,168.8643,46.47,91,54,5.1,broken clouds
29,Rikitea,PF,-23.1203,-134.9692,70.61,79,93,7.2,light rain
30,Wewak,PG,-3.5534,143.6268,84.54,71,100,4.52,overcast clouds
31,Cape Town,ZA,-33.9258,18.4232,58.87,93,75,14.97,light intensity drizzle
32,The Valley,AI,18.217,-63.0578,82.26,74,100,20.76,overcast clouds
33,Carlyle,US,38.6103,-89.3726,76.95,79,0,4.09,clear sky
34,Chokurdakh,RU,70.6333,147.9167,57.2,39,4,10.38,clear sky
35,Gimli,CA,50.6336,-96.9907,75.22,53,5,6.91,clear sky
36,Bowen,AU,-20.0167,148.2333,62.6,44,0,1.83,clear sky
37,Meulaboh,ID,4.1363,96.1285,82.85,74,24,6.87,few clouds
38,Yaan,NG,7.3833,8.5667,71.06,98,98,7.4,overcast clouds
39,East London,ZA,-33.0153,27.9116,58.33,51,0,8.5,clear sky
40,Hilo,US,19.7297,-155.09,81.28,94,100,12.66,heavy intensity rain
41,Young,UY,-32.6833,-57.6333,49.41,74,61,10.85,broken clouds
42,Port Pirie,AU,-33.1833,138.0167,57.69,52,0,3.6,clear sky
43,Caravelas,BR,-17.7125,-39.2481,70.09,90,14,3.94,few clouds
44,Brae,GB,60.3964,-1.353,50.29,86,100,7.76,overcast clouds
45,Coihaique,CL,-45.5752,-72.0662,30.15,93,0,2.3,clear sky
46,Bogo,PH,11.0517,124.0055,87.1,68,20,4.88,few clouds
47,Grand Gaube,MU,-20.0064,57.6608,68.4,80,99,5.99,light rain
48,Atuona,PF,-9.8,-139.0333,77.81,74,18,18.84,few clouds
49,Kaitangata,NZ,-46.2817,169.8464,45.43,85,90,8.93,overcast clouds
50,Vaini,TO,-21.2,-175.2,76.69,86,8,19.35,clear sky
51,Arraial Do Cabo,BR,-22.9661,-42.0278,71.56,88,40,8.05,scattered clouds
52,Norman Wells,CA,65.282,-126.8329,57.24,82,100,14.97,overcast clouds
53,Qaanaaq,GL,77.484,-69.3632,38.91,97,100,6.69,light rain
54,Uyuni,BO,-20.4597,-66.825,34.5,15,4,13.58,clear sky
55,Bereda,ES,43.2686,-7.5406,72.41,56,39,1.77,scattered clouds
56,Hasaki,JP,35.7333,140.8333,75.6,82,93,12.97,light rain
57,Yellowknife,CA,62.456,-114.3525,59.52,88,75,5.75,thunderstorm with heavy rain
58,Beyneu,KZ,45.3167,55.2,87.28,21,0,13.56,clear sky
59,Pyay,MM,18.8167,95.2167,83.12,76,86,9.28,overcast clouds
60,Butaritari,KI,3.0707,172.7902,82.06,79,10,18.14,light rain
61,Portland,US,45.5234,-122.6762,78.84,50,20,8.05,few clouds
62,Port Elizabeth,ZA,-33.918,25.5701,62.89,58,75,19.57,broken clouds
63,Jiayuguan,CN,39.8167,98.3,72.93,35,100,10.87,overcast clouds
64,Jamestown,US,42.097,-79.2353,64.04,82,75,4.61,broken clouds
65,Zhaotong,CN,27.3167,103.7167,76.19,65,6,7.54,clear sky
66,Wuning,CN,29.2589,120.2311,94.51,55,100,3.47,overcast clouds
67,Broome,US,42.2506,-75.833,67.01,95,25,1.01,scattered clouds
68,Pascagoula,US,30.3658,-88.5561,82.45,92,0,0.0,clear sky
69,Bredasdorp,ZA,-34.5322,20.0403,58.66,77,83,15.52,broken clouds
70,Paracuru,BR,-3.41,-39.0306,80.11,82,7,11.07,clear sky
71,Aykhal,RU,66.0,111.5,56.39,57,43,6.33,scattered clouds
72,Saldanha,ZA,-33.0117,17.9442,57.15,94,100,8.66,overcast clouds
73,Yulara,AU,-25.2406,130.9889,59.27,38,0,16.26,clear sky
74,Ponta Do Sol,PT,32.6667,-17.1,67.71,76,29,1.61,scattered clouds
75,Rundu,NA,-17.9333,19.7667,50.52,50,0,4.47,clear sky
76,College,US,64.8569,-147.8028,65.21,57,75,10.36,smoke
77,Dingle,PH,10.9995,122.6711,86.41,72,63,5.99,broken clouds
78,Bac Lieu,VN,9.285,105.7244,79.39,86,100,10.22,overcast clouds
79,Hermanus,ZA,-34.4187,19.2345,56.8,87,93,14.45,overcast clouds
80,Grindavik,IS,63.8424,-22.4338,46.87,100,75,11.5,broken clouds
81,Tuktoyaktuk,CA,69.4541,-133.0374,39.2,93,100,21.85,overcast clouds
82,Sadon,RU,42.8518,44.0037,62.33,71,16,3.49,few clouds
